customer_id,orders,total_spent,product_variety,avg_order_value,avg_days_between_orders,persona
12502,5,3347.79,102,22.774082,42.8,Occasional Buyer
12504,2,515.05,6,57.227778,6.0,Impulse Buyer
12506,1,72.94,23,3.171304,0.0,
12507,3,1219.01,19,58.048095,54.6667,Occasional Buyer
12508,2,404.32,57,5.85971,1.5,Impulse Buyer
12509,1,167.1,7,23.871429,0.0,
12510,2,939.99,29,28.484545,91.5,Rare Buyer
12512,2,137.51,31,4.044412,0.0,
12513,1,599.59,35,17.131143,0.0,
12514,1,1014.1,51,19.884314,0.0,
12515,1,321.45,16,20.090625,0.0,
12516,2,1274.7,20,49.026923,51.5,Occasional Buyer
12517,5,2455.8,232,8.647183,32.4,Occasional Buyer
12518,5,2053.95,84,16.564113,22.0,Regular Buyer
12519,1,334.08,17,18.56,0.0,
12520,5,2794.06,121,18.381974,38.8,Occasional Buyer
12521,1,590.34,38,15.535263,0.0,
12522,2,282.2,11,23.516667,6.0,Impulse Buyer
12523,11,1756.87,84,16.574245,28.3636,Regular Buyer
12524,8,5137.76,113,35.678889,40.5,Occasional Buyer
12526,3,1300.04,64,18.310423,31.3333,Occasional Buyer
12527,3,347.41,18,19.300556,81.3333,Occasional Buyer
12528,6,1966.16,50,21.371304,50.5,Occasional Buyer
12530,4,1676.18,51,25.396667,69.25,Occasional Buyer
12531,1,123.12,17,7.242353,0.0,
12532,1,374.67,16,23.416875,0.0,
12534,1,1082.32,63,17.179683,0.0,
12535,2,687.73,28,20.227353,47.5,Occasional Buyer
12536,3,4446.61,260,17.03682,5.3333,Impulse Buyer
12538,1,384.95,21,18.330952,0.0,
12539,4,5419.29,157,19.850879,77.75,Occasional Buyer
12540,17,12888.28,277,26.962929,20.1176,Regular Buyer
12541,3,965.27,46,18.562885,83.6667,Occasional Buyer
12544,1,337.58,19,17.767368,0.0,
12545,2,936.31,42,18.7262,92.0,Rare Buyer
12546,2,1145.58,59,16.602609,15.5,Regular Buyer
12547,2,182.76,7,22.845,41.5,Occasional Buyer
12548,1,85.2,5,17.04,0.0,
12550,1,965.85,57,16.944737,0.0,
12551,1,165.0,10,16.5,0.0,
12552,2,369.12,20,18.456,0.5,Impulse Buyer
12553,10,3628.1,95,18.995288,32.1,Occasional Buyer
12556,2,644.07,100,5.322893,50.5,Occasional Buyer
12557,5,12603.84,15,381.934545,71.0,Occasional Buyer
12558,1,255.94,11,23.267273,0.0,
12559,2,558.11,21,26.576667,4.5,Impulse Buyer
12560,3,2090.67,91,19.911143,46.0,Occasional Buyer
12561,1,230.73,16,14.420625,0.0,
12562,7,3870.4,99,23.038095,27.1429,Regular Buyer
12564,1,450.9,21,21.471429,0.0,
12565,1,145.92,9,16.213333,0.0,
12566,1,400.63,19,21.085789,0.0,
12567,10,9464.42,323,21.220673,34.7,Occasional Buyer
12569,32,4656.59,92,24.769096,7.8125,Regular Buyer
12571,2,558.51,31,16.426765,41.0,Occasional Buyer
12572,2,1046.44,53,17.440667,21.5,Regular Buyer
12573,1,155.56,26,5.555714,0.0,
12574,1,215.75,11,19.613636,0.0,
12576,5,1532.37,72,17.413295,53.8,Occasional Buyer
12577,3,708.74,137,4.821361,108.0,Rare Buyer
12578,2,2621.67,111,22.997105,154.5,Rare Buyer
12579,1,437.32,29,15.08,0.0,
12580,1,413.1,24,17.2125,0.0,
12581,1,210.61,15,14.040667,0.0,
12582,2,495.12,21,22.505455,25.0,Regular Buyer
12583,15,7697.72,115,31.164858,24.7333,Regular Buyer
12584,9,2283.63,44,23.787813,30.7778,Occasional Buyer
12585,2,2057.7,77,23.651724,58.5,Occasional Buyer
12586,1,195.14,11,17.74,0.0,
12587,1,118.1,4,29.525,0.0,
12588,1,189.3,10,18.93,0.0,
12589,2,614.96,29,17.570286,58.0,Occasional Buyer
12590,2,10388.64,68,152.774118,0.0,
12591,1,418.17,26,16.083462,0.0,
12592,2,431.1,11,23.95,60.5,Occasional Buyer
12593,3,458.1,14,21.814286,36.6667,Occasional Buyer
12594,10,3935.03,50,33.347712,28.5,Regular Buyer
12596,2,654.97,25,24.258148,95.5,Rare Buyer
12597,4,3935.14,184,19.102621,62.25,Occasional Buyer
12598,8,3036.16,84,23.001212,34.375,Occasional Buyer
12599,7,1007.62,32,16.251935,39.2857,Occasional Buyer
12600,10,2635.08,32,41.173125,34.3,Occasional Buyer
12601,5,562.66,21,20.095,28.6,Regular Buyer
12602,1,149.12,12,12.426667,0.0,
12603,1,739.2,2,369.6,0.0,
12604,2,249.3,15,15.58125,91.0,Rare Buyer
12607,1,1558.91,101,15.434752,0.0,
12609,3,1315.47,57,21.9245,80.0,Occasional Buyer
12610,5,1875.74,85,17.69566,20.8,Regular Buyer
12611,1,1189.88,65,18.305846,0.0,
12612,1,806.36,19,42.44,0.0,
12613,5,3284.66,124,21.468366,41.0,Occasional Buyer
12614,1,313.2,20,15.66,0.0,
12615,4,2334.37,82,22.232095,41.5,Occasional Buyer
12616,2,713.3,25,22.290625,101.0,Rare Buyer
12617,1,356.68,39,8.492381,0.0,
12618,1,149.37,11,13.579091,0.0,
12619,9,3450.41,50,38.337889,26.3333,Regular Buyer
12620,3,1787.27,89,19.426848,63.3333,Occasional Buyer
12621,20,14488.29,261,31.024176,18.2,Regular Buyer
12622,1,174.64,11,15.876364,0.0,
12623,1,299.5,18,16.638889,0.0,
12624,2,624.69,36,16.439211,35.5,Occasional Buyer
12625,2,2689.58,73,31.274186,54.0,Occasional Buyer
12626,9,6930.18,232,23.572041,33.6667,Occasional Buyer
12627,7,4435.9,162,19.286522,18.5714,Regular Buyer
12628,3,776.96,34,18.950244,20.0,Regular Buyer
12630,2,1125.44,60,17.585,17.0,Regular Buyer
12631,1,547.18,31,17.650968,0.0,
12633,4,2309.14,73,22.862772,57.25,Occasional Buyer
12635,2,1758.78,96,17.413663,32.5,Occasional Buyer
12637,8,6024.99,205,15.448692,32.0,Occasional Buyer
12638,1,779.93,39,19.998205,0.0,
12639,1,416.94,22,18.951818,0.0,
12640,3,1135.34,47,21.421509,19.3333,Regular Buyer
12641,1,163.9,10,16.39,0.0,
12642,3,1022.94,39,21.764681,27.3333,Regular Buyer
12643,6,3901.72,11,162.571667,34.0,Occasional Buyer
12644,1,488.89,31,15.770645,0.0,
12645,4,1755.86,58,24.052877,70.75,Occasional Buyer
12646,2,1315.05,43,29.223333,22.5,Regular Buyer
12647,12,3927.18,78,32.456033,28.9167,Regular Buyer
12648,1,313.29,21,14.918571,0.0,
12649,3,731.39,28,23.593226,35.0,Occasional Buyer
12650,1,506.2,20,25.31,0.0,
12651,1,111.48,9,12.386667,0.0,
12652,1,1038.18,48,21.62875,0.0,
12653,2,2341.29,37,54.448605,74.0,Occasional Buyer
12654,5,595.48,31,15.670526,57.0,Occasional Buyer
12656,5,4204.03,89,33.365317,43.2,Occasional Buyer
12657,4,1555.04,35,33.085957,16.75,Regular Buyer
12658,1,671.66,36,18.657222,0.0,
12659,1,199.2,5,39.84,0.0,
12660,1,242.1,13,18.623077,0.0,
12662,11,3788.16,129,16.470261,33.9091,Occasional Buyer
12664,9,4563.0,10,123.324324,34.8889,Occasional Buyer
12665,1,63.0,3,21.0,0.0,
12667,1,696.87,33,21.117273,0.0,
12668,4,4149.69,115,25.774472,86.0,Occasional Buyer
12669,3,1604.44,98,15.885545,35.3333,Occasional Buyer
12670,5,2996.53,58,32.570978,44.4,Occasional Buyer
12672,1,219.9,10,21.99,0.0,
12673,2,594.68,42,14.159048,160.5,Rare Buyer
12674,4,2009.44,52,24.21012,42.25,Occasional Buyer
12676,6,1192.11,33,26.491333,47.8333,Occasional Buyer
12678,12,17523.78,105,106.204727,25.9167,Regular Buyer
12679,4,1139.4,43,23.7375,56.25,Occasional Buyer
12680,4,908.89,33,17.478654,28.25,Regular Buyer
12681,22,14053.08,267,22.026771,16.0455,Regular Buyer
12682,31,12332.83,209,23.491105,11.871,Regular Buyer
12683,15,8669.47,177,25.201948,24.0667,Regular Buyer
12684,7,2263.51,61,21.557238,29.4286,Regular Buyer
12685,6,2938.78,117,18.718344,10.8333,Regular Buyer
12686,1,86.74,7,12.391429,0.0,
12688,1,5469.37,171,31.98462,0.0,
12689,2,1236.94,57,17.179722,51.0,Occasional Buyer
12690,1,385.41,16,24.088125,0.0,
12691,6,1055.0,21,32.96875,54.8333,Occasional Buyer
12693,4,883.81,35,22.661795,48.0,Occasional Buyer
12694,2,868.67,32,23.477568,56.5,Occasional Buyer
12695,4,605.32,23,22.419259,50.75,Occasional Buyer
12697,3,912.75,37,22.262195,47.0,Occasional Buyer
12700,4,4959.97,193,18.507351,52.0,Occasional Buyer
12701,2,838.75,50,15.825472,81.5,Occasional Buyer
12702,1,207.4,12,17.283333,0.0,
12703,1,276.85,21,13.183333,0.0,
12704,8,2187.25,64,24.855114,20.25,Regular Buyer
12705,9,6986.09,228,20.916437,38.0,Occasional Buyer
12707,1,630.14,33,19.095152,0.0,
12708,10,2658.43,86,16.932675,33.9,Occasional Buyer
12709,15,10332.06,93,49.673365,23.4,Regular Buyer
12710,3,1138.12,75,14.780779,35.0,Occasional Buyer
12712,13,4272.48,58,32.12391,26.3846,Regular Buyer
12713,1,824.07,38,21.686053,0.0,
12714,5,4841.52,216,18.693127,57.0,Occasional Buyer
12715,1,311.85,20,14.85,0.0,
12716,2,1065.85,60,15.447101,65.0,Occasional Buyer
12717,2,893.58,49,16.246909,47.0,Occasional Buyer
12718,1,241.25,19,12.697368,0.0,
12719,2,640.3,34,16.417949,30.0,Regular Buyer
12720,25,6537.48,211,18.467458,14.68,Regular Buyer
12721,6,2631.24,133,16.343106,53.8333,Occasional Buyer
12722,4,1003.07,50,18.925849,16.25,Regular Buyer
12723,5,729.73,53,10.575797,12.4,Regular Buyer
12724,4,1020.93,47,19.26283,81.75,Occasional Buyer
12725,1,405.34,24,16.889167,0.0,
12726,7,2665.5,57,21.495968,47.0,Occasional Buyer
12727,7,4003.52,109,28.802302,44.2857,Occasional Buyer
12728,4,819.05,38,17.805435,65.25,Occasional Buyer
12729,1,441.71,26,16.988846,0.0,
12731,12,19831.55,109,72.37792,28.4167,Regular Buyer
12732,1,236.26,12,19.688333,0.0,
12733,1,390.45,22,17.747727,0.0,
12734,1,199.0,4,49.75,0.0,
12735,2,781.65,38,18.177907,11.0,Regular Buyer
12736,1,306.0,4,76.5,0.0,
12738,1,149.11,11,13.555455,0.0,
12739,2,993.1,38,26.134211,10.5,Regular Buyer
12740,1,421.96,27,15.628148,0.0,
12743,2,543.28,114,4.054328,0.0,
12744,7,10106.14,178,45.523153,38.1429,Occasional Buyer
12747,11,4112.89,42,39.930971,33.3636,Occasional Buyer
12748,209,49450.25,1768,10.761752,1.7847,Impulse Buyer
12749,5,3965.68,160,19.92804,42.0,Occasional Buyer
12750,1,273.8,15,18.253333,0.0,
12752,1,4532.58,53,85.520377,0.0,
12753,6,23652.73,132,120.064619,56.6667,Occasional Buyer
12754,3,3524.24,49,55.940317,24.3333,Regular Buyer
12755,2,4404.7,4,1101.175,42.5,Occasional Buyer
12756,1,109.68,4,27.42,0.0,
12757,13,4259.97,237,11.482399,15.0769,Regular Buyer
12758,2,2793.13,84,28.795155,80.0,Occasional Buyer
12759,3,1495.78,81,15.745053,74.3333,Occasional Buyer
12762,2,1963.96,62,28.463188,9.0,Regular Buyer
12763,2,491.56,16,27.308889,115.5,Rare Buyer
12764,1,1698.78,45,37.750667,0.0,
12766,7,6758.65,205,21.802097,51.8571,Occasional Buyer
12769,1,1184.43,32,37.013438,0.0,
12770,1,1489.29,12,124.1075,0.0,
12772,1,842.03,55,15.309636,0.0,
12775,5,1412.48,47,21.401212,58.8,Occasional Buyer
12778,6,944.77,40,18.8954,48.8333,Occasional Buyer
12779,8,4573.28,88,30.693154,41.75,Occasional Buyer
12781,2,875.46,25,35.0184,110.5,Rare Buyer
12782,5,2248.04,81,21.825631,70.6,Occasional Buyer
12783,6,1748.35,76,20.81369,12.1667,Regular Buyer
12784,2,539.4,54,9.142373,3.0,Impulse Buyer
12785,1,286.95,14,20.496429,0.0,
12787,3,465.06,17,23.253,61.0,Occasional Buyer
12789,1,90.65,4,22.6625,0.0,
12790,1,320.82,21,15.277143,0.0,
12791,1,219.6,2,109.8,0.0,
12792,1,378.14,25,15.1256,0.0,
12793,2,511.3,21,21.304167,18.5,Regular Buyer
12794,2,954.49,43,21.210889,22.5,Regular Buyer
12795,1,407.28,14,29.091429,0.0,
12797,1,244.03,13,18.771538,0.0,
12798,3,8193.6,6,1024.2,53.3333,Occasional Buyer
12802,1,414.08,25,16.5632,0.0,
12808,3,466.75,27,16.669643,110.6667,Rare Buyer
12809,1,480.55,25,19.222,0.0,
12811,3,504.55,27,16.275806,8.0,Regular Buyer
12812,1,217.08,15,14.472,0.0,
12814,1,117.84,2,58.92,0.0,
12815,2,926.72,38,19.717447,25.5,Regular Buyer
12816,2,489.04,27,16.863448,40.5,Occasional Buyer
12817,1,135.64,4,33.91,0.0,
12818,1,1523.8,14,108.842857,0.0,
12820,4,927.06,55,15.712881,80.75,Occasional Buyer
12821,1,91.02,6,15.17,0.0,
12822,2,932.58,41,20.273478,8.5,Regular Buyer
12823,5,1828.5,1,365.7,44.4,Occasional Buyer
12824,1,380.48,25,15.2192,0.0,
12826,7,1537.86,58,16.89956,51.8571,Occasional Buyer
12827,3,410.45,19,16.418,13.0,Regular Buyer
12828,6,1150.54,46,20.545357,21.3333,Regular Buyer
12829,2,491.0,9,44.636364,12.0,Regular Buyer
12830,6,9579.92,13,252.103158,22.3333,Regular Buyer
12831,1,207.49,9,23.054444,0.0,
12832,2,368.07,27,13.632222,33.0,Occasional Buyer
12833,1,408.38,24,17.015833,0.0,
12834,1,311.18,18,17.287778,0.0,
12836,4,2485.22,148,14.201257,63.0,Occasional Buyer
12837,1,126.36,12,10.53,0.0,
12838,2,662.11,115,5.383008,170.0,Rare Buyer
12839,14,5346.54,95,17.027197,26.0714,Regular Buyer
12840,4,2869.23,67,25.391416,20.75,Regular Buyer
12841,25,4016.95,229,9.564167,14.68,Regular Buyer
12842,2,1121.71,34,32.991471,119.0,Rare Buyer
12843,8,1789.54,69,17.374175,24.875,Regular Buyer
12844,2,327.87,47,6.305192,50.5,Occasional Buyer
12845,4,381.12,26,14.115556,5.75,Impulse Buyer
12847,1,1309.58,72,14.390989,0.0,
12849,2,1053.24,47,20.651765,118.5,Rare Buyer
12851,1,155.68,43,3.1136,0.0,
12852,1,303.45,17,17.85,0.0,
12853,6,1926.38,66,24.697179,30.1667,Occasional Buyer
12854,3,1290.8,95,11.734545,80.0,Occasional Buyer
12855,1,34.98,3,11.66,0.0,
12856,6,2203.62,155,7.017898,9.3333,Regular Buyer
12857,2,1095.5,37,23.815217,46.0,Occasional Buyer
12863,1,579.2,5,115.84,0.0,
12864,1,135.6,3,45.2,0.0,
12865,2,1549.59,86,16.311474,48.5,Occasional Buyer
12866,1,567.28,26,21.818462,0.0,
12867,7,3985.29,240,7.407602,47.7143,Occasional Buyer
12868,6,1659.54,72,15.50972,31.3333,Occasional Buyer
12871,2,377.52,8,34.32,61.5,Occasional Buyer
12872,2,580.73,58,8.798939,19.5,Regular Buyer
12873,1,390.0,4,97.5,0.0,
12875,2,343.23,1,171.615,109.5,Rare Buyer
12876,2,2414.96,67,28.411294,69.5,Occasional Buyer
12877,12,1608.36,100,10.443896,29.5833,Regular Buyer
12878,2,828.07,38,17.618511,15.0,Regular Buyer
12879,3,764.26,7,76.426,15.6667,Regular Buyer
12881,1,278.0,7,39.714286,0.0,
12882,2,1550.4,12,119.261538,12.0,Regular Buyer
12883,4,688.95,39,16.403571,16.25,Regular Buyer
12884,1,484.75,7,69.25,0.0,
12885,3,1147.58,66,16.163099,20.0,Regular Buyer
12886,2,1341.68,75,16.361951,76.0,Occasional Buyer
12888,2,354.12,4,70.824,20.5,Regular Buyer
12890,1,406.32,78,4.955122,0.0,
12891,3,399.0,2,133.0,35.6667,Occasional Buyer
12893,1,185.59,27,5.458529,0.0,
12895,2,378.68,22,17.212727,22.0,Regular Buyer
12897,2,206.9,3,51.725,48.5,Occasional Buyer
12901,28,20438.6,30,176.194828,9.3571,Regular Buyer
12902,1,138.68,10,13.868,0.0,
12904,2,581.71,59,8.079306,77.0,Occasional Buyer
12906,5,3037.73,55,48.217937,13.4,Regular Buyer
12908,2,900.0,1,450.0,68.0,Occasional Buyer
12909,5,2897.81,78,31.844066,42.8,Occasional Buyer
12910,8,3166.2,48,42.216,27.25,Regular Buyer
12912,5,1796.1,17,74.8375,7.6,Regular Buyer
12913,5,2762.51,37,55.2502,72.8,Occasional Buyer
12915,2,448.25,19,20.375,112.0,Rare Buyer
12916,4,2922.87,53,27.316542,45.5,Occasional Buyer
12917,1,714.0,2,357.0,0.0,
12919,6,1324.39,34,26.4878,26.8333,Regular Buyer
12920,1,154.18,27,5.506429,0.0,
12921,37,16058.47,233,22.303431,9.8378,Regular Buyer
12922,1,527.18,28,18.827857,0.0,
12923,1,183.41,28,6.324483,0.0,
12924,4,980.21,22,32.673667,59.75,Occasional Buyer
12925,2,720.47,42,16.010444,35.0,Occasional Buyer
12928,5,2022.9,59,24.082143,64.8,Occasional Buyer
12929,1,111.73,8,13.96625,0.0,
12930,2,414.72,20,16.5888,46.5,Occasional Buyer
12931,15,47881.98,28,583.926585,22.4,Regular Buyer
12933,3,608.44,102,5.74,86.3333,Occasional Buyer
12935,7,2085.08,80,16.163411,45.2857,Occasional Buyer
12936,4,1038.13,56,16.744032,15.25,Regular Buyer
12937,4,1485.24,81,12.377,63.0,Occasional Buyer
12938,1,162.26,9,18.028889,0.0,
12939,8,12416.04,21,264.171064,33.75,Occasional Buyer
12940,2,1006.93,87,10.17101,16.5,Regular Buyer
12942,3,684.89,68,9.131867,78.0,Occasional Buyer
12944,2,602.41,29,20.080333,159.5,Rare Buyer
12945,1,447.95,23,19.476087,0.0,
12947,6,1593.47,83,16.427526,38.3333,Occasional Buyer
12948,7,2075.73,82,17.894224,35.4286,Occasional Buyer
12949,8,3980.0,166,18.511628,27.75,Regular Buyer
12950,3,2044.8,13,88.904348,7.3333,Regular Buyer
12951,6,1040.58,53,16.517143,53.6667,Occasional Buyer
12952,4,1340.69,64,16.970759,18.25,Regular Buyer
12953,1,347.25,17,20.426471,0.0,
12955,11,4697.56,81,26.097556,24.1818,Regular Buyer
12956,1,103.47,19,5.445789,0.0,
12957,8,3980.14,208,16.723277,41.25,Occasional Buyer
12962,2,262.79,15,16.424375,53.0,Occasional Buyer
12963,8,1877.27,75,19.760737,44.625,Occasional Buyer
12965,1,767.2,108,7.038532,0.0,
12966,1,213.98,10,21.398,0.0,
12967,2,1632.7,19,85.931579,6.5,Impulse Buyer
12968,1,135.95,5,27.19,0.0,
12970,4,472.25,116,3.127483,78.75,Occasional Buyer
12971,86,12463.31,94,40.863311,4.2907,Impulse Buyer
12974,1,144.8,8,18.1,0.0,
12976,1,797.4,22,36.245455,0.0,
12977,1,58.55,9,6.505556,0.0,
12980,9,7387.5,6,369.375,22.3333,Regular Buyer
12981,2,363.54,12,18.177,52.0,Occasional Buyer
12982,1,527.38,28,18.835,0.0,
12984,1,97.5,4,24.375,0.0,
12985,2,2230.14,73,29.343947,14.0,Regular Buyer
12987,2,549.94,27,19.640714,62.0,Occasional Buyer
12988,1,513.72,75,5.583913,0.0,
12989,15,7538.1,41,117.782813,24.0667,Regular Buyer
12990,3,369.0,8,28.384615,93.0,Rare Buyer
12991,2,469.76,31,15.153548,44.5,Occasional Buyer
12993,4,414.45,26,15.35,68.75,Occasional Buyer
12994,3,977.24,52,16.020328,88.0,Occasional Buyer
12995,1,275.4,3,91.8,0.0,
12997,4,1295.99,45,21.965932,73.75,Occasional Buyer
12999,3,455.88,25,16.281429,16.3333,Regular Buyer
13000,3,578.99,30,18.677097,86.0,Occasional Buyer
13001,13,10180.71,166,30.031593,24.7692,Regular Buyer
13002,1,118.55,7,16.935714,0.0,
13003,3,149.05,4,24.841667,36.3333,Occasional Buyer
13004,18,6683.43,277,16.543144,19.2222,Regular Buyer
13005,2,505.3,21,19.434615,36.5,Occasional Buyer
13006,1,100.65,4,25.1625,0.0,
13008,1,229.47,14,16.390714,0.0,
13011,1,48.15,3,16.05,0.0,
13012,8,1703.38,67,19.139101,35.625,Occasional Buyer
13013,13,4654.22,155,21.252146,28.4615,Regular Buyer
13014,10,3348.55,67,30.720642,27.1,Regular Buyer
13015,5,3239.44,156,18.405909,39.2,Occasional Buyer
13016,3,763.77,39,16.250426,16.6667,Regular Buyer
13017,1,237.6,1,237.6,0.0,
13018,28,7491.16,313,16.356245,9.9643,Regular Buyer
13021,9,2667.56,101,20.363053,39.3333,Occasional Buyer
13023,2,716.96,36,17.924,32.5,Occasional Buyer
13026,5,2037.72,32,50.943,54.8,Occasional Buyer
13027,6,8973.6,6,345.138462,40.1667,Occasional Buyer
13028,2,1396.08,40,31.024,11.5,Regular Buyer
13029,3,1913.5,8,191.35,107.6667,Rare Buyer
13030,2,782.51,76,7.904141,178.5,Rare Buyer
13032,2,965.58,55,13.599718,17.5,Regular Buyer
13033,1,183.3,11,16.663636,0.0,
